Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
52;infrastructure;cableadaTelematica;58:EF:68:47:59:C6;;6;No;WPA,AES-CCM,TKIP;No;130.0;0;97;0;10;0;0;10;;;Fri Oct 20 09:11:48 2023;Fri Oct 20 09:14:49 2023;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
53;infrastructure;Administrativos-UDP;B0:1F:8C:E2:14:A7;;11;No;WPA2,AES-CCM;No;130.0;0;114;0;0;0;0;0;;;Fri Oct 20 09:11:48 2023;Fri Oct 20 09:14:49 2023;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
54;infrastructure;Alumnos-UDP;B0:1F:8C:E2:14:A3;;11;No;OPN,None;No;130.0;0;124;0;4;0;0;4;;;Fri Oct 20 09:11:48 2023;Fri Oct 20 09:14:49 2023;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.31.16.206;
55;infrastructure;Invitados-UDP;B0:1F:8C:E2:14:A1;;11;No;OPN,None;No;130.0;0;114;0;0;0;0;0;;;Fri Oct 20 09:11:48 2023;Fri Oct 20 09:14:49 2023;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
56;infrastructure;;B0:1F:8C:E2:14:A2;;11;No;WPA3,AES-CCM,OWE;No;130.0;0;127;0;0;0;0;0;;;Fri Oct 20 09:11:48 2023;Fri Oct 20 09:14:49 2023;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
57;infrastructure;;B0:1F:8C:E2:14:A6;;11;No;WPA3,AES-CCM,OWE;No;130.0;0;109;0;0;0;0;0;;;Fri Oct 20 09:11:48 2023;Fri Oct 20 09:14:49 2023;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
58;infrastructure;;B0:1F:8C:E2:14:A4;;11;No;WPA3,AES-CCM,OWE;No;130.0;0;127;0;11;0;0;11;;;Fri Oct 20 09:11:48 2023;Fri Oct 20 09:14:49 2023;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
59;infrastructure;movistar2,4GHZ_DAC020;46:48:B9:1E:84:0E;;1;No;WPA2,AES-CCM;No;270.0;0;8;0;0;0;0;0;;;Fri Oct 20 09:11:52 2023;Fri Oct 20 09:14:39 2023;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
60;infrastructure;Telematica;98:FC:11:86:B6:B9;;6;No;WPA,AES-CCM,TKIP;No;130.0;0;158;0;689;0;0;689;;;Fri Oct 20 09:11:45 2023;Fri Oct 20 09:14:49 2023;-52;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
61;infrastructure;WEP;B0:48:7A:D2:DD:74;;3;No;WEP;No;54.0;0;307;0;26870;0;0;26870;;;Fri Oct 20 09:11:46 2023;Fri Oct 20 09:14:47 2023;-49;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
62;infrastructure;iPhone de Bastian;EE:85:90:67:87:98;;6;No;WPA3,AES-CCM,SAE;No;130.0;0;170;0;5;0;0;5;;;Fri Oct 20 09:11:45 2023;Fri Oct 20 09:14:49 2023;-37;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
63;infrastructure;;FC:B3:BC:90:1D:DA;;6;No;OPN,None;No;-1.0;0;0;0;3;0;0;3;;;Fri Oct 20 09:14:27 2023;Fri Oct 20 09:14:27 2023;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
